policy,grid_i,grid_j,bias_p1,bias_p2,p_stage0,p_stage1,p_stage2,p_mixed,modal_outcome,outcome_entropy,n_replicates,final_horizon,stable_fraction,mean_first_dominance_time
epsilon_greedy,2,47,-1.836734693877551,1.8367346938775508,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,2,48,-1.836734693877551,1.9183673469387754,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,2,49,-1.836734693877551,2.0,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,353.75
epsilon_greedy,3,0,-1.7551020408163265,-2.0,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,346.5625
epsilon_greedy,3,1,-1.7551020408163265,-1.9183673469387754,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,3,2,-1.7551020408163265,-1.836734693877551,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,3,3,-1.7551020408163265,-1.7551020408163265,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,3,4,-1.7551020408163265,-1.6734693877551021,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,3,5,-1.7551020408163265,-1.5918367346938775,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,3,6,-1.7551020408163265,-1.510204081632653,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,3,7,-1.7551020408163265,-1.4285714285714286,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,3,8,-1.7551020408163265,-1.3469387755102042,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,3,9,-1.7551020408163265,-1.2653061224489797,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,3,10,-1.7551020408163265,-1.183673469387755,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,3,11,-1.7551020408163265,-1.1020408163265307,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,3,12,-1.7551020408163265,-1.0204081632653061,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,3,13,-1.7551020408163265,-0.9387755102040818,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,3,14,-1.7551020408163265,-0.8571428571428572,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,3,15,-1.7551020408163265,-0.7755102040816328,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,3,16,-1.7551020408163265,-0.6938775510204083,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,3,17,-1.7551020408163265,-0.6122448979591837,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,3,18,-1.7551020408163265,-0.5306122448979593,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,3,19,-1.7551020408163265,-0.44897959183673475,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,3,20,-1.7551020408163265,-0.3673469387755104,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,3,21,-1.7551020408163265,-0.2857142857142858,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,3,22,-1.7551020408163265,-0.20408163265306145,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,3,23,-1.7551020408163265,-0.12244897959183687,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,3,24,-1.7551020408163265,-0.04081632653061229,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,3,25,-1.7551020408163265,0.04081632653061229,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,3,26,-1.7551020408163265,0.12244897959183643,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,3,27,-1.7551020408163265,0.204081632653061,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,3,28,-1.7551020408163265,0.2857142857142856,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,3,29,-1.7551020408163265,0.36734693877551017,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,3,30,-1.7551020408163265,0.4489795918367343,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,3,31,-1.7551020408163265,0.5306122448979589,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,3,32,-1.7551020408163265,0.6122448979591835,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,3,33,-1.7551020408163265,0.693877551020408,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,3,34,-1.7551020408163265,0.7755102040816326,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,3,35,-1.7551020408163265,0.8571428571428568,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,3,36,-1.7551020408163265,0.9387755102040813,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,3,37,-1.7551020408163265,1.020408163265306,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,3,38,-1.7551020408163265,1.1020408163265305,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,3,39,-1.7551020408163265,1.1836734693877546,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,3,40,-1.7551020408163265,1.2653061224489792,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,3,41,-1.7551020408163265,1.3469387755102038,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,3,42,-1.7551020408163265,1.4285714285714284,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,3,43,-1.7551020408163265,1.510204081632653,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,3,44,-1.7551020408163265,1.591836734693877,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,3,45,-1.7551020408163265,1.6734693877551017,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,3,46,-1.7551020408163265,1.7551020408163263,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,3,47,-1.7551020408163265,1.8367346938775508,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,3,48,-1.7551020408163265,1.9183673469387754,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,3,49,-1.7551020408163265,2.0,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,353.75
epsilon_greedy,4,0,-1.6734693877551021,-2.0,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,346.5625
epsilon_greedy,4,1,-1.6734693877551021,-1.9183673469387754,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,4,2,-1.6734693877551021,-1.836734693877551,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
epsilon_greedy,4,3,-1.6734693877551021,-1.7551020408163265,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625
