policy,category,grid_i,grid_j,bias_p1,bias_p2,window_index,window_end_round,outcome,share
thompson,Slowest median attraction,8,22,-0.336734693877551,-0.0510204081632653,3,300000,"(2,2)",0.00031375
thompson,Slowest median attraction,8,22,-0.336734693877551,-0.0510204081632653,3,300000,Off diagonal,0.019539999999999964
thompson,Slowest median attraction,8,22,-0.336734693877551,-0.0510204081632653,3,300000,Residual,0.020623124999999964
thompson,Slowest median attraction,8,22,-0.336734693877551,-0.0510204081632653,4,400000,"(0,0)",0.98475625
thompson,Slowest median attraction,8,22,-0.336734693877551,-0.0510204081632653,4,400000,"(1,1)",0.000408125
thompson,Slowest median attraction,8,22,-0.336734693877551,-0.0510204081632653,4,400000,"(2,2)",0.000165
thompson,Slowest median attraction,8,22,-0.336734693877551,-0.0510204081632653,4,400000,Off diagonal,0.014670625
thompson,Slowest median attraction,8,22,-0.336734693877551,-0.0510204081632653,4,400000,Residual,0.01524375
thompson,Slowest median attraction,8,22,-0.336734693877551,-0.0510204081632653,5,500000,"(0,0)",0.9880675
thompson,Slowest median attraction,8,22,-0.336734693877551,-0.0510204081632653,5,500000,"(1,1)",0.00022625
thompson,Slowest median attraction,8,22,-0.336734693877551,-0.0510204081632653,5,500000,"(2,2)",0.000104375
thompson,Slowest median attraction,8,22,-0.336734693877551,-0.0510204081632653,5,500000,Off diagonal,0.011601875000000011
thompson,Slowest median attraction,8,22,-0.336734693877551,-0.0510204081632653,5,500000,Residual,0.011932500000000013
thompson,Least terminally concentrated,8,23,-0.336734693877551,-0.0306122448979592,1,100000,"(0,0)",0.938056875
thompson,Least terminally concentrated,8,23,-0.336734693877551,-0.0306122448979592,1,100000,"(1,1)",0.007805625
thompson,Least terminally concentrated,8,23,-0.336734693877551,-0.0306122448979592,1,100000,"(2,2)",0.00686125
thompson,Least terminally concentrated,8,23,-0.336734693877551,-0.0306122448979592,1,100000,Off diagonal,0.04727624999999999
thompson,Least terminally concentrated,8,23,-0.336734693877551,-0.0306122448979592,1,100000,Residual,0.06194312499999999
thompson,Least terminally concentrated,8,23,-0.336734693877551,-0.0306122448979592,2,200000,"(0,0)",0.970499375
thompson,Least terminally concentrated,8,23,-0.336734693877551,-0.0306122448979592,2,200000,"(1,1)",0.00170875
thompson,Least terminally concentrated,8,23,-0.336734693877551,-0.0306122448979592,2,200000,"(2,2)",0.000643125
thompson,Least terminally concentrated,8,23,-0.336734693877551,-0.0306122448979592,2,200000,Off diagonal,0.027148749999999947
thompson,Least terminally concentrated,8,23,-0.336734693877551,-0.0306122448979592,2,200000,Residual,0.029500624999999947
thompson,Least terminally concentrated,8,23,-0.336734693877551,-0.0306122448979592,3,300000,"(0,0)",0.979376875
thompson,Least terminally concentrated,8,23,-0.336734693877551,-0.0306122448979592,3,300000,"(1,1)",0.000769375
thompson,Least terminally concentrated,8,23,-0.336734693877551,-0.0306122448979592,3,300000,"(2,2)",0.00031375
thompson,Least terminally concentrated,8,23,-0.336734693877551,-0.0306122448979592,3,300000,Off diagonal,0.019539999999999964
thompson,Least terminally concentrated,8,23,-0.336734693877551,-0.0306122448979592,3,300000,Residual,0.020623124999999964
thompson,Least terminally concentrated,8,23,-0.336734693877551,-0.0306122448979592,4,400000,"(0,0)",0.98475625
thompson,Least terminally concentrated,8,23,-0.336734693877551,-0.0306122448979592,4,400000,"(1,1)",0.000408125
thompson,Least terminally concentrated,8,23,-0.336734693877551,-0.0306122448979592,4,400000,"(2,2)",0.000165
thompson,Least terminally concentrated,8,23,-0.336734693877551,-0.0306122448979592,4,400000,Off diagonal,0.014670625
thompson,Least terminally concentrated,8,23,-0.336734693877551,-0.0306122448979592,4,400000,Residual,0.01524375
thompson,Least terminally concentrated,8,23,-0.336734693877551,-0.0306122448979592,5,500000,"(0,0)",0.9880675
thompson,Least terminally concentrated,8,23,-0.336734693877551,-0.0306122448979592,5,500000,"(1,1)",0.00022625
thompson,Least terminally concentrated,8,23,-0.336734693877551,-0.0306122448979592,5,500000,"(2,2)",0.000104375
thompson,Least terminally concentrated,8,23,-0.336734693877551,-0.0306122448979592,5,500000,Off diagonal,0.011601875000000011
thompson,Least terminally concentrated,8,23,-0.336734693877551,-0.0306122448979592,5,500000,Residual,0.011932500000000013
exp3,Near neutral,24,24,-0.0061224489795918,-0.0061224489795918,1,100000,"(0,0)",0.950489375
exp3,Near neutral,24,24,-0.0061224489795918,-0.0061224489795918,1,100000,"(1,1)",0.000955
exp3,Near neutral,24,24,-0.0061224489795918,-0.0061224489795918,1,100000,"(2,2)",0.000203125
exp3,Near neutral,24,24,-0.0061224489795918,-0.0061224489795918,1,100000,Off diagonal,0.048352500000000034
exp3,Near neutral,24,24,-0.0061224489795918,-0.0061224489795918,1,100000,Residual,0.04951062500000003
exp3,Near neutral,24,24,-0.0061224489795918,-0.0061224489795918,2,200000,"(0,0)",0.974798125
exp3,Near neutral,24,24,-0.0061224489795918,-0.0061224489795918,2,200000,"(1,1)",3.625e-05
exp3,Near neutral,24,24,-0.0061224489795918,-0.0061224489795918,2,200000,"(2,2)",4.4375e-05
exp3,Near neutral,24,24,-0.0061224489795918,-0.0061224489795918,2,200000,Off diagonal,0.02512125000000004
exp3,Near neutral,24,24,-0.0061224489795918,-0.0061224489795918,2,200000,Residual,0.02520187500000004
exp3,Near neutral,24,24,-0.0061224489795918,-0.0061224489795918,3,300000,"(0,0)",0.978709375
exp3,Near neutral,24,24,-0.0061224489795918,-0.0061224489795918,3,300000,"(1,1)",2.3125e-05
exp3,Near neutral,24,24,-0.0061224489795918,-0.0061224489795918,3,300000,"(2,2)",2.5e-05
exp3,Near neutral,24,24,-0.0061224489795918,-0.0061224489795918,3,300000,Off diagonal,0.021242500000000008
exp3,Near neutral,24,24,-0.0061224489795918,-0.0061224489795918,3,300000,Residual,0.021290625000000007
exp3,Near neutral,24,24,-0.0061224489795918,-0.0061224489795918,4,400000,"(0,0)",0.9811125
