policy,grid_i,grid_j,stage_k,fraction_estimated_contrast_positive,median_estimated_contrast,fraction_discrepancy_nonnegative,median_global_contrast,median_discrepancy
epsilon_greedy,1,22,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,1,22,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,1,23,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,1,23,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,1,24,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,1,24,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,1,25,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,1,25,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,1,26,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,1,26,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,1,27,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,1,27,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,1,28,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,1,28,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,1,29,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,1,29,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,1,30,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,1,30,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,1,31,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,1,31,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,1,32,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,1,32,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,1,33,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,1,33,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,1,34,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,1,34,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,1,35,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,1,35,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,1,36,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,1,36,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,1,37,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,1,37,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,1,38,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,1,38,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,1,39,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,1,39,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
