policy,grid_i,grid_j,bias_p1,bias_p2,p_stage0,p_stage1,p_stage2,p_mixed,modal_outcome,outcome_entropy,n_replicates,final_horizon,stable_fraction,mean_first_dominance_time,mean_terminal_stage0_share,median_terminal_stage0_share,p10_terminal_stage0_share,mean_terminal_off_diagonal_share,mean_terminal_residual_share,fraction_reaching_attraction,median_first_attraction_time,p10_first_attraction_time,p90_first_attraction_time,fraction_exiting_after_entry,mean_reentries,mean_dominance_exits,median_last_exit_time,first_attraction_spread,terminal_residual_share_for_plot,terminal_off_diagonal_share_for_plot,median_stage0_margin,p10_stage0_margin,fraction_stage0_ranked_highest,mean_final_stage0_action_share,median_stage0_selection_probability
epsilon_greedy,0,35,-2.0,0.8571428571428568,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.7565692610485595,0.002015898419365181,1.0,0.99945225,
epsilon_greedy,0,36,-2.0,0.9387755102040812,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.7565692610485595,0.002015898419365181,1.0,0.99945225,
epsilon_greedy,0,37,-2.0,1.020408163265306,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.7565692610485595,0.002015898419365181,1.0,0.99945225,
epsilon_greedy,0,38,-2.0,1.1020408163265305,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.7565692610485595,0.002015898419365181,1.0,0.99945225,
epsilon_greedy,0,39,-2.0,1.1836734693877546,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.7565692610485595,0.002015898419365181,1.0,0.99945225,
epsilon_greedy,0,40,-2.0,1.2653061224489792,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.7565692610485595,0.002015898419365181,1.0,0.99945225,
epsilon_greedy,0,41,-2.0,1.3469387755102038,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.7565692610485595,0.002015898419365181,1.0,0.99945225,
epsilon_greedy,0,42,-2.0,1.4285714285714284,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.7565692610485595,0.002015898419365181,1.0,0.99945225,
epsilon_greedy,0,43,-2.0,1.510204081632653,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.7565692610485595,0.002015898419365181,1.0,0.99945225,
epsilon_greedy,0,44,-2.0,1.591836734693877,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.7565692610485595,0.002015898419365181,1.0,0.99945225,
epsilon_greedy,0,45,-2.0,1.6734693877551017,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.7565692610485595,0.002015898419365181,1.0,0.99945225,
epsilon_greedy,0,46,-2.0,1.7551020408163265,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.7565692610485595,0.002015898419365181,1.0,0.99945225,
